product_id,product_name,image_index,image_file
V036B02101-1,LS-Potato Chips (Cucumber),0,product-000.jpg
V036B02102-1,LS-Potato Chips (Tomato),1,product-001.jpg
V036B02104,LS-Potato Chips (Braised Pork Flavor),2,product-002.jpg
V036B02106,LS-Potato Avocado Chips (Wasabi),3,product-003.jpg
V036B02107,LS-Potato Chips (Roasted Seaweed),4,product-004.jpg
V036B02110,LS-Potato Chips (Spicy Crayfish),5,product-005.jpg
V036B02201,LS-Potato Chips (Cucumber),6,product-006.jpg
V036B02202,LS-Potato Chips (Spicy Hot Pot),7,product-007.jpg
V036B02203,LS-Potato Chips (Italian Red Meat),8,product-008.jpg
V036B02204,LS-Potato Chips (Mexican Tomato Chicken),9,product-009.jpg
V036B02208,LS-Potato Chips (Crispy Grilled Fish),10,product-010.jpg
V036B02210,LS-Potato Chips (Garlic Roasted Oyster),11,product-011.jpg
V036B02211,LS-Potato Chips (Cumin Kebab),12,product-012.jpg
V036B02217,Lay's Potato Chips (Spicy Hot Pot),13,product-013.jpg
V036B02218,Lay's Potato Chips (Sesame Sauce Hot Pot),14,product-014.jpg
V036B02301,LS-Wave Chips (BBQ Squid),15,product-015.jpg
V036B02302,LS-Wave Chips (BBQ Chicken),16,product-016.jpg
V036B02304,LS-Wave Chips (Spicy),17,product-017.jpg
V036B02305,LS-Wave Potato Chips (Pure Tomato),18,product-018.jpg
V036B02401,LS-Potato Chips (Spicy Crayfish),19,product-019.jpg
V036B02403,LS-Potato Chips (Fried Crab),20,product-020.jpg
V036B02501,LS-Yam Chips (Cucumber),21,product-021.jpg
V036B02502,LS-Yam Chips (Tomato),22,product-022.jpg
V036B02618,Lay's Potato Chips (Spiced Braised Artificial Beef Fla),23,product-023.jpg
V036B02619,Lay's Potato Chips (Hot & Spicy Braised Artificial Duck Tongue),24,product-024.jpg
V036B02622,Lay's Potato Chips (Hot & Sour Lemon Braised Artificial),25,product-025.jpg
V036B02628,Lay's Potato Chips (Imitation Peppercorn Crispy Artificial),26,product-026.jpg
V036B02629,Lay's Potato Chips (Imitation Sweet and Spicy Fried Artificial),27,product-027.jpg
V036B02630,Lay's Potato Chips (Imitation Mustard Octopus Flavor),28,product-028.jpg
V036B08701,Weilong Crispy Fire Spicy Flavor 320g (boxed),29,product-029.jpg
V036B08702,Weilong Crispy Fire Lime Flavor 320g (boxed),30,product-030.jpg
V036B08703,Weilong Crispy Fire Spicy Flavor 45g (bag),31,product-031.jpg
V036B08704,Weilong Crispy Fire Lime Flavor 45g (bag),32,product-032.jpg
V036B23101-1,QD-Corn Sticks (Japanese Steak),33,product-033.jpg
V036B23102-2,QD-Corn Sticks (American Turkey),34,product-034.jpg
V036B28101-1,XWX-XHX Snack Noodles (BBQ),35,product-035.jpg
V036B28102-1,XWX-Snack Noodles (New Orleans Roast Chicken),36,product-036.jpg
V036B28103-1,XHX-Snack Noodles (Spicy Crab),37,product-037.jpg
V036B28105-1,XWX-Snack Noodles (Red Stew),38,product-038.jpg
V036B41202,ZX-Natural Series Seaweed Crackers,39,product-039.jpg
V036B41203,ZX-Butter Cheese Biscuits,40,product-040.jpg
V036B41301,ZX-Natural Series Nougat Sandwich Crackers,41,product-041.jpg
V036B41402,ZX-Sandwich Crackers - Strawberry,42,product-042.jpg
V036B41403,ZX-Sandwich Crackers - Lemon,43,product-043.jpg
V036B41404,ZX-Sandwich Crackers - Chocolate,44,product-044.jpg
V036B41405,ZX-Sandwich Crackers - Blueberry Yogurt Flavor,45,product-045.jpg
V036B41501,ZX-Coffee Biscuits,46,product-046.jpg
V036B56304,XFJ-Marshmallow Yogurt,47,product-047.jpg
V036B56305,XFJ-Marshmallow Peach,48,product-048.jpg
V036B56306,XFJ-Marshmallow Grape,49,product-049.jpg
V036B56306-1,Hsu Fu Chi Stuffed Marshmallow Grape Flavor,50,product-050.jpg
V036B56307,XFJ-Blueberry Flavor Marshmallow,51,product-051.jpg
V036B56307-1,HSU FU CHI Blueberry Flavor Marshmallow,52,product-052.jpg
V036B56310-1,HSU FU CHI Strawberry Flavor Crispy Rolls,53,product-053.jpg
V036B56311-1,HSU FU CHI Vanilla Flavor Crispy Rolls,54,product-054.jpg
V036B56316,XFJ-Orange Flavor Marshmallow,55,product-055.jpg
V036B56321,Hsu Fu Chi Passion Fruit Green Tea Flavor Absorb Jelly,56,product-056.jpg
V036B56322,Hsu Fu Chi Yuzu Oolong Tea Flavor Suction Jelly,57,product-057.jpg
V036B56330,HSU FU CHI Strawberry Flavor Wafer Biscuit,58,product-058.jpg
V036B56333,HSU FU CHI Raw Coconut Original Jelly,59,product-059.jpg
V036B56334,HSU FU CHI Raw Coconut Pineapple Flavor Jelly,60,product-060.jpg
V036B56335,HSU FU CHI Raw Coconut Latte Flavor Jelly,61,product-061.jpg
V036B56411,XFJ-Nougat Candy (Blueberry/Strawberry),62,product-062.jpg
V036B56412-1,HSU FU CHI Nougat Candy (Milk Cranberry Flavor),63,product-063.jpg
V036B56413,HSU FU CHI Mixed Flavor Nougat Candy Can,64,product-064.jpg
V036B56415-1,HSU FU CHI Cream Flavor Corn Soft Candy,65,product-065.jpg
V036B56416,XFJ-Durian Flavor Soft Candy,66,product-066.jpg
V036J07401,EC-Herbal Jelly (Pear Flavor),67,product-067.jpg
V036J07402,EC-Herbal Jelly (Osmanthus Flavor),68,product-068.jpg
V036J07403,EC-Herbal Jelly (Bayberry Flavor),69,product-069.jpg
V036B56501,HSU FU CHI Antarctic Krill Corn Balls,70,product-070.jpg
V036B56502,HSU FU CHI Cheese Cheddar Corn Balls,71,product-071.jpg
V036B56507,XFJ-Dr. Bear Fruit Cake Flavor Fruit Juice Gummy,72,product-072.jpg
V036B56508,XFJ-Dr. Bear Sour Peach Flavor Fruit Juice Gummy,73,product-073.jpg
V036B59104,LYFEN Glutinous Rice Chips (Spicy Flavor),74,product-074.jpg
V036B76101,Nestle Cuicuisha Chocolate Flavor Wafer,75,product-075.jpg
V036B76101-1,Nestle Cuicuisha Chocolate Flavor Wafer,76,product-076.jpg
